  
  
  Y = 0.177E+0001     
  Z = -.500E+0000     
  Time = 0.0000E+0000     
       X             V_g     
  0.646E+0000  0.112E+0000
  0.661E+0000  0.394E+0000
  0.677E+0000  0.706E+0000
  0.692E+0000  0.959E+0000
  0.707E+0000  0.115E+0001
  0.722E+0000  0.129E+0001
  0.737E+0000  0.137E+0001
  0.753E+0000  0.140E+0001
  0.768E+0000  0.137E+0001
  0.783E+0000  0.128E+0001
  0.798E+0000  0.114E+0001
  0.813E+0000  0.940E+0000
  0.829E+0000  0.683E+0000
  0.844E+0000  0.368E+0000
  0.859E+0000  0.100E+0000
