  
  
  X = 0.350E+0001     
  Z = -.200E+0000     
  Time = 0.1000E+0001     
       Y             EP_g    
  0.100E+0001  0.445E+0000
  0.300E+0001  0.443E+0000
  0.500E+0001  0.493E+0000
  0.700E+0001  0.514E+0000
  0.900E+0001  0.488E+0000
  0.110E+0002  0.489E+0000
  0.130E+0002  0.487E+0000
  0.150E+0002  0.477E+0000
  0.170E+0002  0.493E+0000
  0.190E+0002  0.560E+0000
  0.210E+0002  0.680E+0000
  0.230E+0002  0.767E+0000
  0.250E+0002  0.770E+0000
  0.270E+0002  0.722E+0000
  0.290E+0002  0.610E+0000
  0.310E+0002  0.657E+0000
  0.330E+0002  0.892E+0000
  0.350E+0002  0.100E+0001
  0.370E+0002  0.100E+0001
  0.390E+0002  0.100E+0001
  0.410E+0002  0.100E+0001
  0.430E+0002  0.100E+0001
  0.450E+0002  0.100E+0001
  0.470E+0002  0.100E+0001
  0.490E+0002  0.100E+0001
  0.510E+0002  0.100E+0001
  0.530E+0002  0.100E+0001
  0.550E+0002  0.100E+0001
  0.570E+0002  0.100E+0001
  0.590E+0002  0.100E+0001
  0.610E+0002  0.100E+0001
  0.630E+0002  0.100E+0001
  0.650E+0002  0.100E+0001
  0.670E+0002  0.100E+0001
  0.690E+0002  0.100E+0001
  0.710E+0002  0.100E+0001
  0.730E+0002  0.100E+0001
  0.750E+0002  0.100E+0001
  0.770E+0002  0.100E+0001
