  
  
  X = 0.350E+0001     
  Z = -.200E+0000     
  Time = 0.1000E+0001     
       Y             P_g     
  0.100E+0001  0.240E+0005
  0.300E+0001  0.237E+0005
  0.500E+0001  0.227E+0005
  0.700E+0001  0.214E+0005
  0.900E+0001  0.193E+0005
  0.110E+0002  0.165E+0005
  0.130E+0002  0.134E+0005
  0.150E+0002  0.104E+0005
  0.170E+0002  0.770E+0004
  0.190E+0002  0.576E+0004
  0.210E+0002  0.442E+0004
  0.230E+0002  0.368E+0004
  0.250E+0002  0.326E+0004
  0.270E+0002  0.285E+0004
  0.290E+0002  0.209E+0004
  0.310E+0002  0.522E+0003
  0.330E+0002  0.341E+0002
  0.350E+0002  0.694E+0002
  0.370E+0002  0.771E+0002
  0.390E+0002  0.744E+0002
  0.410E+0002  0.716E+0002
  0.430E+0002  0.687E+0002
  0.450E+0002  0.658E+0002
  0.470E+0002  0.628E+0002
  0.490E+0002  0.599E+0002
  0.510E+0002  0.569E+0002
  0.530E+0002  0.538E+0002
  0.550E+0002  0.508E+0002
  0.570E+0002  0.478E+0002
  0.590E+0002  0.448E+0002
  0.610E+0002  0.418E+0002
  0.630E+0002  0.389E+0002
  0.650E+0002  0.361E+0002
  0.670E+0002  0.332E+0002
  0.690E+0002  0.303E+0002
  0.710E+0002  0.273E+0002
  0.730E+0002  0.242E+0002
  0.750E+0002  0.208E+0002
  0.770E+0002  0.174E+0002
