  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Time average of EP_g     from Time = 0.1000E+0003 to 0.2000E+0003 
  Time = 0.2000E+0003     
       X             EP_g    
  -.250E+0000  0.99E+0032
  0.250E+0000  0.97E+0000
  0.750E+0000  0.97E+0000
  0.125E+0001  0.97E+0000
  0.175E+0001  0.97E+0000
  0.225E+0001  0.97E+0000
  0.275E+0001  0.97E+0000
  0.325E+0001  0.97E+0000
  0.375E+0001  0.97E+0000
  0.425E+0001  0.97E+0000
  0.475E+0001  0.97E+0000
  0.525E+0001  0.97E+0000
  0.575E+0001  0.97E+0000
  0.625E+0001  0.97E+0000
  0.675E+0001  0.97E+0000
  0.725E+0001  0.97E+0000
  0.775E+0001  0.97E+0000
  0.825E+0001  0.97E+0000
  0.875E+0001  0.97E+0000
  0.925E+0001  0.97E+0000
  0.975E+0001  0.97E+0000
  0.102E+0002  0.99E+0032
