  
  
  Y = 0.100E+0002     
  Z = -.500E+0000     
  Time average of V_g      from Time = 0.1000E+0003 to 0.2000E+0003 
  Time = 0.2000E+0003     
       X             V_g     
  -.250E+0000  0.25E+0003
  0.250E+0000  0.36E+0003
  0.750E+0000  0.40E+0003
  0.125E+0001  0.44E+0003
  0.175E+0001  0.48E+0003
  0.225E+0001  0.51E+0003
  0.275E+0001  0.55E+0003
  0.325E+0001  0.58E+0003
  0.375E+0001  0.61E+0003
  0.425E+0001  0.63E+0003
  0.475E+0001  0.65E+0003
  0.525E+0001  0.65E+0003
  0.575E+0001  0.63E+0003
  0.625E+0001  0.61E+0003
  0.675E+0001  0.58E+0003
  0.725E+0001  0.55E+0003
  0.775E+0001  0.51E+0003
  0.825E+0001  0.48E+0003
  0.875E+0001  0.44E+0003
  0.925E+0001  0.40E+0003
  0.975E+0001  0.36E+0003
  0.102E+0002  0.25E+0003
