  
  
  Y = 0.50000E+0001     
  Z = -.50000E+0000     
  Time average of EP_g     from Time = 0.10000E+0003 to 0.20030E+0003 
  Time = 0.20030E+0003     
       X             EP_g    
  -.62500E-0001  0.98765E+0032
  0.62500E-0001  0.97000E+0000
  0.18750E+0000  0.97000E+0000
  0.31250E+0000  0.97000E+0000
  0.43750E+0000  0.97000E+0000
  0.56250E+0000  0.97000E+0000
  0.68750E+0000  0.97000E+0000
  0.81250E+0000  0.97000E+0000
  0.93750E+0000  0.97000E+0000
  0.10625E+0001  0.97000E+0000
  0.11875E+0001  0.97000E+0000
  0.13125E+0001  0.97000E+0000
  0.14375E+0001  0.97000E+0000
  0.15625E+0001  0.97000E+0000
  0.16875E+0001  0.97000E+0000
  0.18125E+0001  0.97000E+0000
  0.19375E+0001  0.97000E+0000
  0.20625E+0001  0.97000E+0000
  0.21875E+0001  0.97000E+0000
  0.23125E+0001  0.97000E+0000
  0.24375E+0001  0.97000E+0000
  0.25625E+0001  0.97000E+0000
  0.26875E+0001  0.97000E+0000
  0.28125E+0001  0.97000E+0000
  0.29375E+0001  0.97000E+0000
  0.30625E+0001  0.97000E+0000
  0.31875E+0001  0.97000E+0000
  0.33125E+0001  0.97000E+0000
  0.34375E+0001  0.97000E+0000
  0.35625E+0001  0.97000E+0000
  0.36875E+0001  0.97000E+0000
  0.38125E+0001  0.97000E+0000
  0.39375E+0001  0.97000E+0000
  0.40625E+0001  0.97000E+0000
  0.41875E+0001  0.97000E+0000
  0.43125E+0001  0.97000E+0000
  0.44375E+0001  0.97000E+0000
  0.45625E+0001  0.97000E+0000
  0.46875E+0001  0.97000E+0000
  0.48125E+0001  0.97000E+0000
  0.49375E+0001  0.97000E+0000
  0.50625E+0001  0.97000E+0000
  0.51875E+0001  0.97000E+0000
  0.53125E+0001  0.97000E+0000
  0.54375E+0001  0.97000E+0000
  0.55625E+0001  0.97000E+0000
  0.56875E+0001  0.97000E+0000
  0.58125E+0001  0.97000E+0000
  0.59375E+0001  0.97000E+0000
  0.60625E+0001  0.97000E+0000
  0.61875E+0001  0.97000E+0000
  0.63125E+0001  0.97000E+0000
  0.64375E+0001  0.97000E+0000
  0.65625E+0001  0.97000E+0000
  0.66875E+0001  0.97000E+0000
  0.68125E+0001  0.97000E+0000
  0.69375E+0001  0.97000E+0000
  0.70625E+0001  0.97000E+0000
  0.71875E+0001  0.97000E+0000
  0.73125E+0001  0.97000E+0000
  0.74375E+0001  0.97000E+0000
  0.75625E+0001  0.97000E+0000
  0.76875E+0001  0.97000E+0000
  0.78125E+0001  0.97000E+0000
  0.79375E+0001  0.97000E+0000
  0.80625E+0001  0.97000E+0000
  0.81875E+0001  0.97000E+0000
  0.83125E+0001  0.97000E+0000
  0.84375E+0001  0.97000E+0000
  0.85625E+0001  0.97000E+0000
  0.86875E+0001  0.97000E+0000
  0.88125E+0001  0.97000E+0000
  0.89375E+0001  0.97000E+0000
  0.90625E+0001  0.97000E+0000
  0.91875E+0001  0.97000E+0000
  0.93125E+0001  0.97000E+0000
  0.94375E+0001  0.97000E+0000
  0.95625E+0001  0.97000E+0000
  0.96875E+0001  0.97000E+0000
  0.98125E+0001  0.97000E+0000
  0.99375E+0001  0.97000E+0000
  0.10062E+0002  0.98765E+0032
