  
  
  Average value for X = 0.725E+0001 to 0.128E+0002          
  Y = 0.198E+0002     
  Z = -.500E+0000     
      Time          EP_g    
  0.000E+0000  0.100E+0001
  0.105E-0001  0.960E+0000
  0.200E-0001  0.866E+0000
  0.301E-0001  0.726E+0000
  0.401E-0001  0.620E+0000
  0.501E-0001  0.565E+0000
  0.604E-0001  0.543E+0000
  0.708E-0001  0.537E+0000
  0.811E-0001  0.538E+0000
  0.900E-0001  0.541E+0000
  0.100E+0000  0.544E+0000
  0.111E+0000  0.547E+0000
  0.120E+0000  0.549E+0000
  0.131E+0000  0.552E+0000
  0.141E+0000  0.554E+0000
  0.150E+0000  0.555E+0000
  0.161E+0000  0.557E+0000
  0.170E+0000  0.558E+0000
  0.180E+0000  0.560E+0000
  0.190E+0000  0.561E+0000
  0.200E+0000  0.562E+0000
  0.210E+0000  0.564E+0000
  0.221E+0000  0.566E+0000
  0.230E+0000  0.568E+0000
  0.241E+0000  0.569E+0000
  0.250E+0000  0.571E+0000
  0.261E+0000  0.573E+0000
  0.270E+0000  0.575E+0000
  0.280E+0000  0.576E+0000
  0.290E+0000  0.577E+0000
  0.301E+0000  0.578E+0000
  0.310E+0000  0.579E+0000
  0.320E+0000  0.580E+0000
  0.330E+0000  0.581E+0000
  0.341E+0000  0.582E+0000
  0.350E+0000  0.583E+0000
  0.360E+0000  0.583E+0000
  0.371E+0000  0.586E+0000
  0.380E+0000  0.596E+0000
  0.391E+0000  0.628E+0000
  0.401E+0000  0.694E+0000
  0.411E+0000  0.770E+0000
  0.420E+0000  0.830E+0000
  0.430E+0000  0.884E+0000
  0.441E+0000  0.923E+0000
  0.451E+0000  0.944E+0000
  0.460E+0000  0.958E+0000
  0.471E+0000  0.969E+0000
  0.481E+0000  0.976E+0000
  0.490E+0000  0.981E+0000
  0.501E+0000  0.985E+0000
  0.510E+0000  0.989E+0000
  0.521E+0000  0.991E+0000
  0.530E+0000  0.993E+0000
  0.540E+0000  0.994E+0000
  0.550E+0000  0.995E+0000
  0.561E+0000  0.996E+0000
  0.570E+0000  0.997E+0000
  0.580E+0000  0.998E+0000
  0.590E+0000  0.998E+0000
  0.600E+0000  0.998E+0000
  0.611E+0000  0.999E+0000
  0.620E+0000  0.999E+0000
  0.630E+0000  0.999E+0000
  0.640E+0000  0.999E+0000
  0.650E+0000  0.999E+0000
  0.660E+0000  0.999E+0000
  0.670E+0000  0.999E+0000
  0.681E+0000  0.999E+0000
  0.690E+0000  0.999E+0000
  0.701E+0000  0.100E+0001
  0.711E+0000  0.100E+0001
  0.721E+0000  0.100E+0001
  0.731E+0000  0.100E+0001
  0.741E+0000  0.100E+0001
  0.751E+0000  0.100E+0001
  0.760E+0000  0.100E+0001
  0.771E+0000  0.100E+0001
  0.781E+0000  0.100E+0001
  0.791E+0000  0.100E+0001
  0.801E+0000  0.100E+0001
  0.810E+0000  0.100E+0001
  0.821E+0000  0.100E+0001
  0.831E+0000  0.100E+0001
  0.841E+0000  0.100E+0001
  0.850E+0000  0.100E+0001
  0.861E+0000  0.100E+0001
  0.871E+0000  0.100E+0001
  0.881E+0000  0.100E+0001
  0.890E+0000  0.100E+0001
  0.900E+0000  0.100E+0001
  0.910E+0000  0.100E+0001
  0.921E+0000  0.100E+0001
  0.930E+0000  0.100E+0001
  0.940E+0000  0.100E+0001
  0.950E+0000  0.100E+0001
  0.960E+0000  0.100E+0001
  0.970E+0000  0.100E+0001
  0.980E+0000  0.100E+0001
  0.990E+0000  0.100E+0001
  0.100E+0001  0.100E+0001
